data,bol,MAO,CUR,TAB,TFE,MNC,ITA,HUM,LBR,ERN,dMAO,dCUR,dTAB,dTFE,dMNC,dITA,dHUM,dLBR,dERN
2026-01-01,Bol01,21.96,7.62,7.12,14.25,13.28,8.47,18.55,16.77,15.88,356,-256.0,-136,217.0,347.0,311.0,122.0,123.0,268.0
2026-01-08,Bol06,21.98,7.64,6.76,13.56,13.2,8.63,19.91,17.68,16.23,218,-347.0,-212,38.0,203.0,,303.0,95.0,312.0
2026-01-16,Bol12,21.73,9.67,9.85,14.1,13.35,8.91,20.52,19.75,16.6,56,-71.0,201,-25.0,59.0,47.0,13.0,245.0,428.0
2026-01-21,Bol16,22.09,9.5,9.44,13.84,13.17,8.77,20.44,19.68,16.57,61,-94.0,106,-33.0,55.0,,34.0,231.0,428.0
2026-01-25,Bol19,22.37,9.68,9.89,14.33,13.41,9.01,20.52,20.08,16.63,51,-221.0,231,16.0,47.0,50.0,-13.0,269.0,619.0
2026-01-27,Bol21,22.54,9.6,10.05,14.55,,,,,,51,-229.0,296,,,,,,
2026-02-04,Bol28,23.21,,10.65,,14.18,9.65,21.49,20.61,17.09,100,,411,,102.0,,85.0,340.0,580.0
2026-02-13,Bol36,23.93,8.65,10.93,15.82,14.88,10.24,21.25,20.7,16.81,154,-137.0,294,302.0,164.0,225.0,16.0,304.0,415.0
2026-02-23,Bol44,24.43,8.54,11.35,16.3,15.4,10.76,21.15,20.79,16.73,110,-185.0,187,189.0,137.0,,-97.0,211.0,237.0
2026-03-04,Bol52,24.58,7.77,11.39,,15.75,11.02,21.72,20.8,16.72,30,-234.0,90,,76.0,7.0,-93.0,90.0,90.0
2026-03-13,Bol60,24.77,6.92,11.42,,16.02,11.26,22.02,20.73,16.47,-26,-164.0,38,,27.0,-36.0,-87.0,24.0,65.0
2026-03-27,Bol72,25.29,7.26,11.29,,16.57,11.7,21.85,20.53,16.12,-57,-204.0,-20,,-4.0,-70.0,-164.0,-21.0,30.0
2026-04-08,Bol82,25.77,9.38,10.97,17.36,16.98,12.1,22.61,20.4,16.19,-59,-196.0,-102,,-18.0,-80.0,-125.0,-35.0,37.0
2026-04-22,Bol92,26.32,10.2,11.07,,17.44,12.52,22.6,20.44,16.21,-77,-247.0,-126,,-37.0,-96.0,-118.0,-27.0,39.0
2026-04-30,Bol101,26.74,10.02,11.24,,17.74,12.88,22.89,20.53,16.68,-94,-188.0,-128,,-62.0,-96.0,-55.0,-8.0,86.0
