data,MAO,MNC,ITA,PVH,CRZ,RBC,TAB,BOV,OBI,STM,ITT,ALT,CUR
2026-01-02,2197,1328,849,1189,1116.0,1300.0,706,156.0,375.0,386.0,504.0,513.0,
2026-01-08,2198,1321,862,1246,1130.0,991.0,676,118.0,393.0,406.0,512.0,584.0,890.0
2026-01-16,2198,1313,874,1186,1239.0,1387.0,832,146.0,397.0,403.0,524.0,577.0,890.0
2026-01-27,2259,1370,926,1326,1159.0,1339.0,1017,146.0,432.0,438.0,599.0,591.0,960.0
2026-02-02,2303,1400,950,2133,1116.0,1300.0,1054,156.0,375.0,386.0,504.0,513.0,951.0
2026-03-04,2458,1575,1102,2172,,,1139,,,,,,777.0
2026-03-17,2482,1615,1137,1398,,,1143,94.0,,,,,620.0
2026-03-23,2507,1641,1157,1404,1090.0,,1142,87.0,629.0,626.0,844.0,765.0,772.0
2026-04-01,2548,1679,1189,1423,1381.0,,1111,128.0,642.0,634.0,844.0,737.0,
2026-04-07,2569,1695,1208,1479,1359.0,1091.0,1100,289.0,659.0,647.0,823.0,723.0,
2026-04-23,2648,1756,1267,1511,1206.0,924.0,1109,162.0,695.0,674.0,786.0,,
2026-05-05,2698,1793,1306,1428,1376.0,905.0,1130,245.0,720.0,695.0,788.0,696.0,
2026-05-06,2702,1796,1309,1411,1352.0,920.0,1131,220.0,723.0,698.0,787.0,688.0,
